Xa       Ya       Xb       Yb      Type     Flux     Speed
 2.43493  48.9408  2.43493  48.9408    10       203      23
 2.46223  48.9378  2.46223  48.9378    10       175      40
 2.4613   48.9462  2.4613   48.9462    10       851      20
 2.46482  48.9442  2.46482  48.9442    10       510      16
 2.47932  48.9288  2.47932  48.9288    10       472      26
 2.47388  48.9273  2.47388  48.9273    10       56       28
 2.47592  48.9356  2.47592  48.9356    10       135      26
 2.44109  48.9367  2.44109  48.9367    10       64       23
 2.43653  48.9352  2.43653  48.9352    10       143      55
 2.42068  48.9361  2.42068  48.9361    10       276      25
 2.43423  48.9369  2.43423  48.9369    10       242      10
 2.41937  48.9527  2.41937  48.9527    10       241       9
 2.40079  48.918   2.40079  48.918     10       329      24
 2.40133  48.9189  2.40133  48.9189    10       121      16
 2.37831  48.907   2.37831  48.907     10       753      12
 2.38951  48.9192  2.38951  48.9192    10       241      17
 2.37375  48.9167  2.37375  48.9167    10       460      10
 2.37873  48.9165  2.37873  48.9165    10       555      26
 2.40732  48.925   2.40732  48.925     10       300      26
 2.40721  48.9249  2.40721  48.9249    10       210      28
 2.38764  48.9287  2.38764  48.9287    10       372      13
 2.41002  48.9343  2.41002  48.9343    10       256      14
 2.40438  48.934   2.40438  48.934     10       413      29
 2.35567  48.9465  2.35567  48.9465    10       299      13
 2.37503  48.9367  2.37503  48.9367    10       252      14
 2.37726  48.9345  2.37726  48.9345    10       118      15
 2.37013  48.9442  2.37013  48.9442    10       64       28
 2.37488  48.9426  2.37488  48.9426    10       15       18
 2.37868  48.9419  2.37868  48.9419    10       157      15
 2.34738  48.9365  2.34738  48.9365    10       309      11
 2.36071  48.9156  2.36071  48.9156    10       466       8
 2.35926  48.9383  2.35926  48.9383    10       139      11
 2.3593   48.9341  2.3593   48.9341    10       314      22
 2.36299  48.9371  2.36299  48.9371    10       177      25
 2.35274  48.9351  2.35274  48.9351    10       168      26
 2.3217   48.9491  2.3217   48.9491    10        2        5
 2.33578  48.9267  2.33578  48.9267    10       90        4
 2.34219  48.9374  2.34219  48.9374    10       78       10
 2.38166  48.9644  2.38166  48.9644    10       218      22
 2.39053  48.9683  2.39053  48.9683    10       47       24
